cell	Gene_1	Gene_2	Gene_3	Gene_4	Gene_5	Gene_6	Gene_7	Gene_8	Gene_9	Gene_10
Cell_1	2.91213881818112	4.28885604010429	3.5776437127497	0.264310628524981	1.26836835616268	2.18928493571002	3.95669674256351	0.953353736666031	2.47139654774219	0.676966296741739
Cell_2	3.25116724928375	1.20126401633024	1.07858410826884	3.2768330007093	4.71445345156826	0.664348429767415	4.54486885340884	3.6180644655833	1.41215382399969	1.2696714499034
Cell_3	1.28056071070023	1.15602655988187	1.61183981969953	2.83300095272716	1.05307285743766	4.87622095609549	0.711268640356138	1.8403849308379	4.20266226760577	4.95034775708336
Cell_4	2.42858772282489	2.38527129846625	0.843372641596943	3.49760013574269	4.37134603061713	2.87322451337241	2.85417781840079	2.59606296592392	4.98580512101762	1.14734041993506
Cell_5	3.73759903991595	1.94569750584196	4.42832663992886	2.88699244998861	2.98403923935257	1.60692200495396	3.66082306276076	0.898369053495117	4.95140712149441	1.67229007952847
Cell_6	5.08635515661445	2.10689709999133	2.22684144985396	2.40007501014043	0.929938346263953	4.44456532725599	4.02996748476289	5.06686348328367	3.97134031017777	0.698151729418896
Cell_7	0.653277234756388	2.6617393681081	3.59851367736701	2.69364802690689	0.147226160857826	4.80145297059789	0.301793465157971	1.49187031178735	0.505954996682703	5.26656244473998
Cell_8	4.61259820160922	5.04667416517623	4.10279630147852	1.59983980143443	0.694135135272518	0.0506157892523333	3.84529076016042	3.68913334829267	4.11827975942288	0.346561567625031
Cell_9	4.13293394295033	1.87483486894052	1.59535519534256	2.60794870881364	2.04880306962878	0.766478296369314	4.26975583401509	2.56493625044823	5.00618238945026	2.11545044626109
Cell_10	0.352939895121381	0.976472706184722	1.18117261049338	4.4695030831499	0.434115124633536	1.11162047157995	2.2069956890773	1.61213843035512	4.67148304707371	4.84521393023897
Cell_11	1.4721329472959	0.812970432103612	1.1850767028518	0.243978423299268	5.11899170465767	1.79550139408093	5.11530113557819	5.32721270376351	2.59013215615414	2.53837720386218
Cell_12	4.16314492514357	0.483367258217186	1.27381205046549	4.45132800843567	1.9161563339876	5.15441270940937	5.18114446115214	3.07801497308537	4.52417185902596	2.6109777361853
Cell_13	4.8799903979525	2.44178977620322	2.65911633346695	4.19366157776676	4.69067776936572	0.248671964392997	5.23010125209112	1.58291414286941	2.29857448791154	5.11171775008552
Cell_14	4.35765988391358	1.50626482546795	2.11854989337735	3.99678416212555	0.424195550032891	5.35433253180236	4.95587031007744	4.03078634175472	1.46655305812601	3.3971276411321
Cell_15	4.60719174752012	1.86815947771538	1.03796257253271	4.51789033226669	0.224516973947175	2.98109352320898	2.08106920297723	4.70883375464473	5.31678916269448	2.87833433400374
Cell_16	3.81660094740801	3.01933566015214	3.99833890167065	2.75627693848219	3.14882788166869	1.48936307767872	0.488618548377417	1.97385727462824	2.88398270285688	1.32627191988286
Cell_17	2.64206060115248	2.79055413044989	3.73746800061781	2.92765436205082	3.33507870032918	4.35182739747688	2.66350872581825	1.44141114118975	0.586106309201568	0.380833849892952
