breaks	counts
0	14
50	13
100	11
150	17
200	9
250	12
300	14
350	17
400	15
450	14
500	8
550	15
600	22
650	10
700	19
750	10
800	16
850	10
900	15
950	14
1000	17
1050	22
1100	13
1150	18
1200	18
1250	16
1300	13
1350	20
1400	20
1450	17
1500	18
1550	14
1600	19
1650	14
1700	16
1750	22
1800	20
1850	18
1900	12
1950	14
2000	21
2050	19
2100	18
2150	9
2200	12
2250	23
2300	12
2350	16
2400	22
2450	16
2500	15
2550	13
2600	15
2650	17
2700	17
2750	16
2800	18
2850	17
2900	17
2950	19
3000	14
3050	17
3100	15
3150	23
3200	13
3250	10
3300	19
3350	19
3400	14
3450	17
3500	17
3550	14
3600	16
3650	15
3700	21
3750	15
3800	17
3850	19
3900	11
3950	11
4000	21
4050	16
4100	23
4150	19
4200	18
4250	17
4300	15
4350	14
4400	18
4450	13
4500	11
